ebm Rew Mean,ebm Rew Std,ebm Rew Max,ebm Rew Min,Reward Scale,QF1 Loss,QF2 Loss,VF Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
-8.817292,19.072275,65.4342,-56.5971,0.05,1.8971827,1.9092495,0.078498565,-0.1763737,-0.00884258,0.0042215525,0.002500638,-0.023352467,-0.002304383,0.0033718029,0.0045040864,-0.009916421,0.048157178,0.02097703,0.10549377,0.0032682524,-0.18529141,0.37393704,0.9882593,-0.89367044,-0.0015655154,0.0042747515,0.005428766,-0.01392276,-0.0004900509,0.007394773,0.013122299,-0.020112032,0.8824734059911152,0.48213797531205654,1.8679744815576573,-0.791185933759428,882.4734059911337,5.5241272427096115,889.7419572614274,872.6790269522414,-0.005824375,0.2152677,0.5322443,-0.31169996,1000.0,0.0,1000,1000,100,1.15019319062938,0.5672681257279083,3.8331994258833038,-1.8204330106936284,1150.19319062938,129.92870578628342,1272.9212740942162,817.0624845890648,0.10339935,0.5881327,0.9993297,-0.99953264,1000.0,0.0,1000,1000,882.4734059911337,96,100000,100,216.33546945266426,0,180.44277184689417,396.77824129955843,427.7867172448896,0
30.695408,17.29773,70.28548,-17.080633,0.05,0.10799278,0.0688419,0.060605444,-26.14119,26.278751,36.90488,104.95799,-15.609815,26.26944,36.861046,104.45737,-15.129981,26.091574,36.617393,104.01177,-15.453756,-0.051391974,0.50503284,1.3909196,-1.5864059,0.11823144,0.19113493,0.6827658,-0.62303615,-0.18041976,0.07093301,-0.09650487,-0.49855337,1.0164748126543313,0.05941138715332354,1.5193122671098134,0.9973735755072697,1016.4748126543315,0.8081826118405031,1017.8389332318632,1014.7451685829685,0.15190029,0.2465787,0.5267563,-0.11065867,1000.0,0.0,1000,1000,100,1.118301760021629,0.450708984390133,4.1694807221019445,-1.9717839894457525,1118.301760021629,118.6112944863865,1297.441241033956,850.8400744198005,0.113957435,0.5626454,0.99880934,-0.9990287,1000.0,0.0,1000,1000,1016.4748126543315,196,200000,200,225.1158567299135,31.031207566615194,187.92182817589492,444.0688924724236,875.1206194572151,1
39.498055,19.266676,101.01454,-8.450511,0.05,0.13671231,0.13684447,0.076262526,-75.59311,76.02527,12.918171,90.81095,-3.3160903,76.11398,12.909521,91.06439,-3.422579,75.601875,12.80283,89.61396,-3.5627959,0.45768747,0.9334695,3.0918076,-3.2369618,0.18855353,0.3935892,1.1558317,-0.96649504,-0.41319072,0.10159385,-0.13230838,-0.5979529,1.0021751730745714,0.011089873130165542,1.1363514953324547,0.9430930998256388,1002.1751730745713,0.6401072433647058,1003.2462146880277,1001.195230065241,0.17569365,0.22939733,0.5006936,-0.10174417,1000.0,0.0,1000,1000,100,1.0113191569087632,0.21766690998553054,1.959233636136219,0.08870134957422711,1011.3191569087634,10.018985228891815,1049.7832661560265,996.0357086661255,0.13899462,0.54074925,0.99827677,-0.99776524,1000.0,0.0,1000,1000,1002.1751730745713,296,300000,300,224.9869233975187,34.28633829718456,186.18157940078527,445.4548410954885,1314.0039359652437,2
42.852013,21.849054,102.775925,-10.174744,0.05,0.06416962,0.061628923,0.095795915,-112.96018,113.531,4.732611,121.83684,96.889435,113.44742,4.736419,121.71313,96.529305,112.96585,4.5596967,121.36166,96.92631,0.31117797,0.8799516,2.355616,-2.3607173,0.2001241,0.37661803,1.063008,-1.0124794,-0.43735933,0.087668695,-0.2603035,-0.74272853,1.0025288130673722,0.016442209528589977,1.2569548224592315,0.9956489869288045,1002.5288130673725,0.6282968797070472,1003.573143687479,1001.0867971861323,0.20381695,0.21152446,0.49403235,-0.096123464,1000.0,0.0,1000,1000,100,1.001884928218774,0.17682831959235262,1.739351238568477,0.33116002382254,1001.8849282187741,3.431560712162832,1012.4120012719713,993.9552998641876,0.16953555,0.53224355,0.99834615,-0.9986996,1000.0,0.0,1000,1000,1002.5288130673725,396,400000,400,224.18147403839976,27.715615876019,184.504569967743,436.40165988216177,1761.7891169427894,3
43.690353,20.807787,94.24527,-5.9982314,0.05,0.14338747,0.09278661,0.3165407,-135.3976,135.7222,3.4298465,142.03802,124.26529,135.99652,3.4603755,142.39883,124.715775,136.03986,3.2360187,141.99326,126.209465,0.2650615,0.87280124,2.7150385,-2.9672804,0.2586706,0.33054537,1.14508,-0.96801007,-0.42584494,0.103871465,-0.17474955,-0.68725556,1.0020295207717937,0.012831841800286247,1.1279845200640288,0.8993005028718076,1002.0295207717942,0.6967276369822166,1003.2339141765427,1000.8336661456956,0.22725397,0.20792231,0.5054252,-0.1340031,1000.0,0.0,1000,1000,100,1.0013141848623024,0.17281443959674084,1.7828938429215715,0.12204044253669377,1001.3141848623027,3.497784131439164,1013.1170123854592,993.6935787704882,0.17661238,0.5304973,0.99898696,-0.99792886,1000.0,0.0,1000,1000,1002.0295207717942,496,500000,500,224.08303117007017,39.113443930167705,183.4371142531745,446.6335893534124,2203.4023862569593,4
42.057228,21.52781,94.94783,-4.252128,0.05,0.07028589,0.07699686,0.14222282,-148.57742,149.08621,3.9797652,158.56067,123.49135,148.96805,3.9463108,157.82257,123.48788,148.79932,3.7012534,156.29489,127.37648,0.42002562,0.89776677,2.4618845,-3.7309546,0.259346,0.35413092,1.1965688,-0.8321682,-0.41730964,0.117465265,-0.17264456,-0.716491,1.0020661790759635,0.012580191306728996,1.146650359819321,0.954105626755123,1002.0661790759635,0.6167524828996042,1003.3296726819901,1001.1876726383731,0.20163417,0.21752934,0.50467616,-0.1246908,1000.0,0.0,1000,1000,100,1.0001786135037884,0.16494750367644775,1.7365576485357683,0.13929357845782706,1000.1786135037884,3.064416573343187,1007.1151637461008,985.7814466629108,0.17904072,0.53027296,0.9973192,-0.99694943,1000.0,0.0,1000,1000,1002.0661790759635,596,600000,600,224.36912341602147,34.078912620898336,175.07928974507377,433.52732578199357,2635.19011424575,5
45.35559,20.654118,93.11895,-3.9058487,0.05,0.15996337,0.14449143,0.4993623,-155.37126,155.67703,3.6488574,161.31815,142.16449,155.70148,3.644416,161.33896,142.58983,156.17432,3.4967504,163.31224,143.25145,0.24451447,0.85516274,2.3077722,-3.0628438,0.20709415,0.36594287,1.2214333,-0.99933887,-0.4036692,0.100686386,-0.13130784,-0.68394715,1.0025085883047262,0.013229972651552397,1.1380753595896418,0.9533393976351215,1002.5085883047268,0.5312955190080493,1003.6156068652289,1001.263568011557,0.20761517,0.21176004,0.5039643,-0.14645602,1000.0,0.0,1000,1000,100,1.000524444636336,0.16332294978932085,1.818169499273862,0.305442526380344,1000.5244446363358,3.0070185796520787,1009.961317301004,993.8111792144575,0.1826022,0.5288798,0.998387,-0.9988986,1000.0,0.0,1000,1000,1002.5085883047268,696,700000,700,222.44113728031516,32.356409550178796,174.2438597418368,429.04140657233074,3065.60988098057,6
44.064507,21.34435,104.52487,-11.470287,0.05,0.075764716,0.11140968,0.23832211,-160.54411,160.71866,3.1361554,167.23715,150.16478,160.84908,3.154366,167.57658,149.96251,160.03139,2.9662168,166.91566,149.8017,0.34466904,0.8076447,2.6123424,-2.5192227,0.24123919,0.3290484,1.2224995,-0.7967803,-0.42153856,0.10631863,-0.15731874,-0.72465706,1.0028857416834793,0.014650859951146412,1.1588337285437806,0.9688163113754261,1002.8857416834795,0.7038450164033945,1004.2888074696596,1001.7232173536299,0.19442235,0.22547561,0.52034974,-0.16160102,1000.0,0.0,1000,1000,100,0.9999534793863447,0.15972469954029608,1.6620456571766278,0.2855675763420191,999.9534793863444,2.9890036584963595,1008.8376122086721,992.9858301697031,0.18289256,0.5286582,0.99886745,-0.9970296,1000.0,0.0,1000,1000,1002.8857416834795,796,800000,800,229.22395029244944,33.72714947909117,209.43292979057878,472.3840295621194,3540.4553012307733,7
42.33071,22.941408,99.1459,-9.722259,0.05,0.101588234,0.12467858,0.19598332,-162.70464,163.21198,3.1093743,168.58728,151.93759,163.1409,3.0910196,168.59827,151.89024,163.09358,3.079188,169.21443,152.00278,0.39318514,0.90288967,2.5681763,-3.2936685,0.27219188,0.35309055,1.1002481,-0.71419245,-0.41667962,0.11599018,-0.16172092,-0.75748044,1.002446218379086,0.012950670136774178,1.1593398054136261,0.9767287008265775,1002.446218379086,0.6572329555317659,1003.7000171578852,1001.5624181853324,0.21334104,0.2017871,0.48243055,-0.1373896,1000.0,0.0,1000,1000,100,0.9997412216996384,0.1564910664015517,1.8295433642681656,0.3397669803956846,999.7412216996386,2.768046211582063,1006.9890578169353,993.6406602131436,0.17800802,0.530279,0.9979121,-0.99844366,1000.0,0.0,1000,1000,1002.446218379086,896,900000,900,228.44197813328356,36.19489148678258,214.3036504383199,478.940520058386,4023.8465635026805,8
43.87503,21.703667,96.44185,-11.789127,0.05,0.06283549,0.065823145,0.14522356,-165.8433,166.21964,2.930428,171.44444,154.4463,166.22168,2.9445567,171.78091,154.36346,165.62238,2.86692,171.27892,153.17026,0.34236977,0.8027644,2.3668127,-2.501801,0.24811076,0.32056478,1.1643006,-1.06367,-0.39930797,0.11025983,-0.09782952,-0.6654594,1.0020106932512898,0.010764219070910215,1.1461456011991717,0.9661338593477383,1002.0106932512897,0.614069749240504,1003.1266943567115,1000.8476736835662,0.18647286,0.20775047,0.4863987,-0.14112912,1000.0,0.0,1000,1000,100,0.9995017188207402,0.15276731952789394,1.7154675014853003,0.39069804409628756,999.50171882074,2.6254692107426925,1007.3729697828676,992.9548110258922,0.17860965,0.53077334,0.9994041,-0.99878085,1000.0,0.0,1000,1000,1002.0106932512897,996,1000000,1000,233.8996276045218,40.686641339212656,222.7463734531775,497.332642396912,4518.685273002833,9
