Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Reward Scale,QF1 Loss,QF2 Loss,VF Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.8186599,0.15625,0.86336833,0.5,0.0092279585,0.036447242,0.36699903,0.00045399932,64.0,150.08727,150.20004,0.077200994,-0.18362863,-0.009724501,0.0042575854,0.0008227386,-0.021667726,-0.0028765206,0.003401415,0.004337391,-0.010816412,0.05127378,0.02196865,0.10610991,0.0017309173,-0.19339296,0.37373537,0.80303717,-1.9124069,-0.0016171411,0.0044538123,0.0055627227,-0.0134467,-0.0005650293,0.007870114,0.013110614,-0.020558931,1.1481985363912093,0.43534697307356585,2.8835340930237128,0.04395456512156714,1148.1985363912067,1.2760188006375843,1150.2178647216172,1146.1718608341102,0.017907595,0.22914153,0.9560938,-0.96953475,1000.0,0.0,1000,1000,100,1.0370638009320507,0.7063907756255551,4.224684210193462,-2.601418100784218,1037.0638009320508,113.57522507186317,1243.0314261835867,726.7068377460632,-0.03951207,0.5933143,0.99958086,-0.9988478,1000.0,0.0,1000,1000,1148.1985363912067,96,100000,100,336.46971950214356,0,218.1614440777339,554.6311635798775,586.9327432960272,0
0.004726275,1.0,0.0851594,0.5,0.13053021,0.033005405,0.2785718,0.08899381,64.0,13.506394,13.420166,0.42941654,-25.76125,25.89629,25.210283,202.14066,6.5702524,26.124748,25.189943,202.49481,7.3528147,25.91084,24.725779,201.43958,7.0450153,0.03441689,0.89409715,6.2041564,-1.4553576,-0.024335803,0.2939997,1.925857,-2.0087574,-0.15864626,0.1024068,-0.11282826,-1.3109245,1.0156699191217224,0.06872825036736814,1.5699651425753203,0.9994278466056129,1015.6699191217227,0.7843227352614466,1016.9510268438653,1013.9496879177392,0.3406481,0.27548033,0.895885,-0.6706549,1000.0,0.0,1000,1000,100,1.05387879373411,0.3642594441272172,3.573692195464331,-1.5055822369918173,1053.8787937341103,96.33397678701874,1246.4291830852926,796.0497959553134,0.23586632,0.5819502,0.9995295,-0.9988878,1000.0,0.0,1000,1000,1015.6699191217227,196,200000,200,349.5064907511696,32.31729747308418,214.85811441764235,596.6819026418962,1184.905932568945,1
0.048471846,0.9863281,0.015257094,0.5,0.14003506,0.021021659,0.26130372,0.09684224,64.0,2.7558415,2.65738,5.77994,-557.44745,558.31616,7.0140967,595.4307,538.60913,558.44824,6.9320555,594.6319,539.2818,560.7319,6.587585,592.9019,537.5801,0.66126657,1.1636467,2.9475584,-2.8169312,0.39716718,0.3818596,1.0802535,-1.5379899,-0.476612,0.16487892,-0.28462175,-1.0854862,1.0039543115925054,0.02657087522666293,1.3569845233620537,0.9991792972839812,1003.9543115925056,0.6892930158912256,1005.1320115604908,1002.893194404693,0.41846564,0.31428435,0.8180089,-0.28931013,1000.0,0.0,1000,1000,100,1.0832503840659613,0.4792158272035901,4.405660643725618,-2.4555685289818436,1083.2503840659615,121.5362734029642,1564.8741672256065,999.4098241567333,0.13309291,0.6036,0.99996066,-0.99937445,1000.0,0.0,1000,1000,1003.9543115925056,296,300000,300,345.6960391430184,33.60456799902022,214.95083847735077,594.2514456193894,1775.2620751503855,2
0.05267442,0.9863281,0.015231235,0.5,0.06228033,0.09701249,0.3522828,0.00045399932,64.0,2.38863,2.4035592,3.08152,-717.2948,718.3047,8.225088,741.905,681.84894,718.29517,8.332025,742.76843,681.70404,719.5769,8.124517,743.7166,682.61536,0.948849,1.1867709,2.9008675,-5.6238923,0.4058092,0.47926927,1.2830033,-1.0864099,-0.4866369,0.1302155,-0.29559997,-0.89923817,1.0126602021775164,0.06374023574118777,1.5594724656585888,0.9992656476795913,1012.6602021775167,0.7021430825367664,1013.7084957663268,1010.962843499806,0.3815656,0.31721961,0.91503274,-0.3590661,1000.0,0.0,1000,1000,100,1.0441820743386678,0.3912169961155521,4.044767920045866,-2.8371736165718655,1044.182074338668,39.30774731349616,1143.4681118331196,946.9370024797765,0.041211996,0.6019545,0.99943733,-0.99924064,1000.0,0.0,1000,1000,1012.6602021775167,396,400000,400,349.5157050001435,29.700298331212252,213.7100038868375,592.9260072181933,2368.379131515976,3
0.036122303,0.9902344,0.019481296,0.5,0.15276042,0.04743274,0.347489,0.0011390544,64.0,3.474132,3.473878,0.5746033,-341.8648,342.46185,358.77805,934.8557,-84.1055,342.5669,358.73474,933.50977,-86.18085,342.5469,358.51282,930.5776,-68.435875,0.6427498,1.2146387,4.5363255,-3.010143,-0.1624676,0.61743826,1.8443973,-1.459193,-0.32411692,0.17353997,-0.10596785,-1.1461229,1.010548470190544,0.06105305242955843,1.5454063431037033,0.9969926936911867,1010.5484701905441,0.7133733057243787,1011.6961300230101,1009.2976041449666,0.253996,0.20276517,0.8000454,-0.24537449,1000.0,0.0,1000,1000,100,1.0201277514945783,0.2201549439881387,2.686755789712481,-1.3361397825247547,1020.1277514945779,8.744713454908203,1076.8127210891312,1007.9577463854353,0.2120605,0.5142807,0.9968791,-0.9986218,1000.0,0.0,1000,1000,1010.5484701905441,496,500000,500,355.6816754611209,29.902495136950165,223.35601993789896,608.94019053597,2976.805004418362,4
0.044788092,0.9921875,0.008790474,0.5,0.058048297,0.11410848,0.3528477,0.00045399932,64.0,3.2829704,3.3144827,0.29990312,-836.6485,837.4506,91.54366,926.2036,116.74642,837.5248,91.37207,924.8979,118.62379,836.5906,91.460175,922.69714,115.941765,0.43204397,0.91937757,3.7322426,-2.841998,0.22207217,0.36048722,1.0443985,-1.0623467,-0.49760863,0.10371707,-0.1908944,-0.9470098,1.0429906110691667,0.5032511538813119,2.2127654059045034,-1.718843886331316,1042.9906110691559,1.2096262226803807,1044.6578781158637,1040.5495909940287,-0.17550199,0.36781508,0.86332345,-0.7362807,1000.0,0.0,1000,1000,100,1.0467823996878047,0.5145725666041147,2.922825503489605,-2.1973712505763725,1046.7823996878049,41.19481836140818,1184.7910476136908,973.2001095174903,-0.11549893,0.5944167,0.99924433,-0.99999845,1000.0,0.0,1000,1000,1042.9906110691559,596,600000,600,349.08549774531275,29.40010216180235,215.54901660326868,594.0346165103838,3575.1789450906217,5
0.029872037,0.99609375,0.04035193,0.5,0.14376897,0.02794823,0.2350051,0.08869085,64.0,2.659051,2.2564774,1.5297941,-161.58748,162.03987,275.47043,1134.5087,-9.450991,162.14732,275.53873,1136.662,-9.070127,163.08525,275.755,1138.7034,-8.506987,0.4398184,0.9966456,3.1136527,-2.3241284,-0.26124424,0.40915418,1.0566145,-1.4888228,-0.24549706,0.1610236,-0.015274838,-1.208499,1.0059261713988359,0.04912041399844395,1.448840124248745,0.9027585715519698,1005.9261713988355,0.5587613717735257,1007.0444743768317,1004.6109264367708,0.38030702,0.2801081,0.72410554,-0.18660581,1000.0,0.0,1000,1000,100,1.0089681603603418,0.2979980952710929,2.698916846904941,-2.0182348442765705,1008.9681603603418,22.220986842474222,1116.1979507150147,983.3187766504625,0.22905184,0.56995493,0.99938613,-0.9993911,1000.0,0.0,1000,1000,1005.9261713988355,696,700000,700,345.41857081791386,33.74405597988516,213.5036291098222,592.6662559076212,4167.032630103175,6
0.05100147,0.9902344,0.009746282,0.5,0.14182004,0.025397923,0.23061417,0.09445975,64.0,4.1639743,4.107738,3.3394747,-1055.2949,1056.1334,13.528158,1093.3529,1020.2524,1056.2041,13.524074,1092.9404,1020.47736,1052.8225,13.763334,1089.7686,1015.319,0.86810684,1.2511553,3.3525078,-5.526026,0.51197577,0.34942934,1.0911459,-0.8584518,-0.4637253,0.18944003,-0.17209129,-0.8688687,1.005240171600068,0.037252786390387024,1.430456695864068,0.9802211773720253,1005.2401716000683,0.6945200874450908,1006.5545231867159,1004.0620662661678,0.31635886,0.2348247,0.5907512,-0.1211435,1000.0,0.0,1000,1000,100,1.008546170551398,0.16675453089589581,1.7017674056486138,0.4902646354349648,1008.5461705513981,3.9383962556861762,1017.3625436774416,997.1010186415749,0.2870843,0.49773633,0.9980363,-0.9973568,1000.0,0.0,1000,1000,1005.2401716000683,796,800000,800,343.2306250631809,32.91813617758453,210.42540630651638,586.5741675472818,4753.99301061919,7
0.051956445,0.9863281,0.012356414,0.5,0.07268938,0.109329976,0.36643705,0.00045399932,64.0,3.6756716,2.6745825,14.961721,-953.74274,954.9669,13.057067,991.9477,915.1077,954.411,13.019679,989.3963,913.9493,948.32715,13.068705,982.9399,907.1404,0.62776256,0.9035143,2.6001756,-2.5163255,0.34914002,0.3182967,1.0748703,-0.7765539,-0.53449684,0.11218175,-0.2802749,-0.8663594,1.0528886424595811,0.4048906512712766,2.1133687104993117,-0.8913080419473121,1052.888642459568,1.2379075476041896,1054.65249724095,1050.6935344045155,-0.10063408,0.2532993,0.7860285,-0.4454439,1000.0,0.0,1000,1000,100,1.0392083293083183,0.45237576161969323,2.8527089381569795,-1.9126396649523267,1039.2083293083183,46.5368960469025,1170.9151433593693,978.4914641824772,0.06216629,0.56176275,0.9999973,-0.999991,1000.0,0.0,1000,1000,1052.888642459568,896,900000,900,351.34403621638194,33.31545933894813,217.66255384264514,602.3220493979752,5353.395722947083,8
0.029069897,1.0,0.023765903,0.5,0.14468381,0.02565862,0.26170197,0.10761231,64.0,1.5983294,1.556339,0.98580855,-220.34624,221.05235,381.64807,1118.616,-28.314167,220.8884,381.38992,1117.2797,-28.862396,219.79837,380.14594,1111.2788,-27.72908,0.24761972,0.84410363,2.7202492,-2.9767754,-0.12644385,0.3283435,1.1824862,-1.1619678,-0.3048258,0.28815317,-0.03137791,-1.4727062,1.0024905189783442,0.02285931394815256,1.318907881837766,0.9502669639778333,1002.4905189783443,0.6004800358123801,1003.5789220111235,1001.3313209149405,0.20631815,0.24119747,0.6594649,-0.38481507,1000.0,0.0,1000,1000,100,1.0518863730025494,0.38900492043636203,3.9638274563307085,-1.9415431171235766,1051.8863730025496,39.67391152584262,1205.331809633523,990.8813619006183,0.07266127,0.52563936,0.99907404,-0.9990101,1000.0,0.0,1000,1000,1002.4905189783443,996,1000000,1000,349.28484761854634,30.39883461408317,216.2899595638737,595.9736417965032,5949.110937784426,9
