Loss,random_avg_energy,expert_avg_energy,expert*20_avg_energy,random_expert_diff,Best Model Epoch,Best Random Energy,Best Expert Energy,Number of train calls total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.021595204,0.19750571250915527,0.03797667846083641,0.054106615483760834,0.15952903404831886,0,0.19750571250915527,0.03797667846083641,1,0.01927559400019163,0,5.650100001730607e-05,0.019332095000208938,0.94370189700021,0
0.013892882,-19.09499740600586,-25.548965454101562,-15.907624244689941,6.453968048095703,500,-19.09499740600586,-25.548965454101562,501,0.013507435000065016,0.9256115019998106,2.2977000298851635e-05,0.9391419140001744,8.11903783598791,500
0.010138657,-15.107840538024902,-38.58229064941406,-17.629789352416992,23.47445011138916,1000,-15.107840538024902,-38.58229064941406,1001,0.019105111000044417,1.0808532260002721,2.828499964380171e-05,1.0999866219999603,18.753272720997302,1000
0.007565195,-16.011241912841797,-45.76710510253906,-11.059704780578613,29.755863189697266,1500,-16.011241912841797,-45.76710510253906,1501,0.018680478000078438,1.0463078679999853,3.960000049119117e-05,1.065027946000555,28.944371098999,1500
0.0071145785,-16.694276809692383,-50.325157165527344,-2.4031755924224854,33.63088035583496,2000,-16.694276809692383,-50.325157165527344,2001,0.018300473000181228,1.0261493860002702,3.2686000395187875e-05,1.0444825450008466,37.87212596401014,2000
0.0060325875,-21.46710777282715,-54.30826950073242,9.807051658630371,32.84116172790527,2000,-16.694276809692383,-50.325157165527344,2501,0.02454368799999429,1.1416969599999902,4.0437999814457726e-05,1.166281085999799,48.124885368013565,2500
0.005143816,-23.207735061645508,-57.48936080932617,19.537649154663086,34.281625747680664,3000,-23.207735061645508,-57.48936080932617,3001,0.013200412000060169,1.1401796340001056,1.7740000203048112e-05,1.1533977860003688,57.916996738015314,3000
0.0051393947,-25.906414031982422,-60.61223602294922,30.907896041870117,34.7058219909668,3500,-25.906414031982422,-60.61223602294922,3501,0.012166557999989891,1.109206715000255,2.276800023537362e-05,1.1213960410004802,64.4086869070129,3500
0.004927879,-27.243257522583008,-64.11650848388672,39.6762580871582,36.87325096130371,4000,-27.243257522583008,-64.11650848388672,4001,0.01514527100016494,1.0028294870003265,2.5841000024229288e-05,1.0180005990005156,73.6664707580203,4000
0.00495503,-28.961854934692383,-67.10316467285156,46.62211227416992,38.14130973815918,4500,-28.961854934692383,-67.10316467285156,4501,0.014017620000231545,0.9811755820001054,2.1021999600634445e-05,0.9952142239999375,80.6382097950277,4500
