Loss,random_avg_energy,expert_avg_energy,random_expert_diff,Best Model Epoch,Best Random Energy,Best Expert Energy,Number of train calls total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.8057145,317.5838928222656,0.37084779143333435,317.2130450308323,0,317.5838928222656,0.37084779143333435,1,0.023419040720909834,0,0.00012558884918689728,0.02354462957009673,0.12124221585690975,0
0.0011957493,288.3871154785156,0.000933642266318202,288.3861818362493,0,317.5838928222656,0.37084779143333435,101,0.014869279693812132,0.09977274341508746,2.3062340915203094e-05,0.1146650854498148,1.6860812464728951,100
0.000343825,285.9702453613281,0.0005440867971628904,285.96970127453096,0,317.5838928222656,0.37084779143333435,201,0.02055178862065077,0.004553424194455147,4.195328801870346e-05,0.02514716610312462,3.322778807953,200
0.00035731235,286.87017822265625,0.00024177186423912644,286.869936450792,0,317.5838928222656,0.37084779143333435,301,0.013865196146070957,0.0065109459683299065,2.0050443708896637e-05,0.02039619255810976,4.796174802817404,300
0.00019947413,279.89752197265625,0.00019865611102432013,279.8973233165452,0,317.5838928222656,0.37084779143333435,401,0.019690918270498514,0.0054577412083745,2.3581087589263916e-05,0.02517224056646228,6.406544046010822,400
0.00021361491,288.8702392578125,0.0003210899594705552,288.86991816785303,0,317.5838928222656,0.37084779143333435,501,0.013422801159322262,0.008827890269458294,2.3597851395606995e-05,0.022274289280176163,8.01463326299563,500
0.00011549578,295.3120422363281,0.00012195180170238018,295.3119202845264,0,317.5838928222656,0.37084779143333435,601,0.014667009003460407,0.06385745899751782,2.2110994905233383e-05,0.07854657899588346,9.583877171389759,600
0.00020489111,287.91754150390625,0.00038771837716922164,287.9171537855291,0,317.5838928222656,0.37084779143333435,701,0.014514357317239046,0.0072378977201879025,2.3293308913707733e-05,0.021775548346340656,11.104800574947149,700
0.00024392328,297.7524108886719,0.0002461189578752965,297.752164769714,0,317.5838928222656,0.37084779143333435,801,0.016547649167478085,0.00834490917623043,2.710474655032158e-05,0.024919663090258837,12.748011745978147,800
0.00035933653,286.2115173339844,0.0002721109485719353,286.2112452230358,0,317.5838928222656,0.37084779143333435,901,0.01961069507524371,0.012199013028293848,3.8504600524902344e-05,0.03184821270406246,14.33664168510586,900
0.00035416216,292.3979187011719,0.00043158879270777106,292.39748711237917,0,317.5838928222656,0.37084779143333435,1001,0.015574789606034756,0.01161377364769578,2.5854911655187607e-05,0.027214418165385723,16.044267857447267,1000
9.7980235e-05,298.25091552734375,0.00011905137216672301,298.2507964759716,0,317.5838928222656,0.37084779143333435,1101,0.016279946081340313,0.09122729208320379,2.588517963886261e-05,0.10753312334418297,17.80850289389491,1100
0.00016527245,279.9805603027344,0.00010808336810441688,279.98045221936627,0,317.5838928222656,0.37084779143333435,1201,0.014604407362639904,0.009970982093364,2.533523365855217e-05,0.024600724689662457,19.45646140165627,1200
0.00014611727,288.26922607421875,0.00014596931578125805,288.26908010490297,0,317.5838928222656,0.37084779143333435,1301,0.012616574764251709,0.010951509233564138,2.2002961486577988e-05,0.023590086959302425,21.02737187501043,1300
0.00021021212,303.1629943847656,0.00029671695665456355,303.16269766780897,0,317.5838928222656,0.37084779143333435,1401,0.014123807195574045,0.009753318969160318,2.443511039018631e-05,0.02390156127512455,22.569982077926397,1400
0.00010441438,302.67425537109375,0.00012676449841819704,302.67412860659533,0,317.5838928222656,0.37084779143333435,1501,0.018023075070232153,0.010768695268779993,3.199465572834015e-05,0.028823764994740486,24.41543986229226,1500
0.00028868532,280.5779113769531,0.000282543565845117,280.5776288333873,0,317.5838928222656,0.37084779143333435,1601,0.01645674416795373,0.07505811098963022,2.417527139186859e-05,0.09153903042897582,26.094213830772787,1600
0.00026586672,295.9052734375,0.000424165278673172,295.9048492722213,0,317.5838928222656,0.37084779143333435,1701,0.014970139134675264,0.011292582377791405,2.2944994270801544e-05,0.02628566650673747,27.77173895202577,1700
