ebm Rew Mean,ebm Rew Std,ebm Rew Max,ebm Rew Min,Reward Scale,QF1 Loss,QF2 Loss,VF Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q1 Predictions Min,Q2 Predictions Mean,Q2 Predictions Std,Q2 Predictions Max,Q2 Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.007015235,0.04612855,0.049999688,-0.5912697,100.0,6701301000.0,6701301000.0,0.078498565,-0.1763737,-0.00884258,0.0042215525,0.002500638,-0.023352467,-0.002304383,0.0033718029,0.0045040864,-0.009916421,0.048157178,0.02097703,0.10549377,0.0032682524,-0.18529141,0.37393704,0.9882593,-0.89367044,-0.0015655154,0.0042747515,0.005428766,-0.01392276,-0.0004900509,0.007394773,0.013122299,-0.020112032,0.996480855337645,0.03582805311319649,1.1286818872354256,0.6054664378290086,996.4808553376449,0.6473441731285549,997.541352904557,995.2608319395343,0.6657465,0.4698361,0.9993339,-0.8856475,1000.0,0.0,1000,1000,100,1.058722464850496,0.3896707366692014,5.838754341763137,-1.5982140562897116,1058.722464850496,127.07766177068117,1486.914611818667,852.511898398653,0.53179973,0.5838555,1.0,-0.9999964,1000.0,0.0,1000,1000,996.4808553376449,96,100000,100,245.0829506055452,0,191.40994096547365,436.49289157101884,465.9869894962758,0
0.0002924059,0.05172754,0.049999945,-0.30518213,100.0,112.74915,112.39857,4.4583054,5667.2163,-5651.2246,33.79739,-5464.7188,-5802.927,-5651.8438,36.18035,-5451.423,-5819.26,-5667.047,36.130196,-5475.633,-5838.9995,13.543644,1.6839235,16.133226,7.1321154,2.176451,1.5490189,4.084146,-0.21680628,-1.8191028,1.4513677,-0.43954962,-4.063286,1.000220727227973,0.02712813655437385,1.2503366792977397,0.7030744535599203,1000.2207272279733,0.8533494229402001,1001.7318109895405,998.3513867727485,0.66420895,0.47390604,0.99994385,-0.8369966,1000.0,0.0,1000,1000,100,1.0041151469679315,0.07883642752136363,3.533334287650388,0.5709015807247506,1004.115146967932,20.502831785882424,1154.7376037375805,995.7771875668717,0.66607416,0.47299322,1.0,-0.9998046,1000.0,0.0,1000,1000,1000.2207272279733,196,200000,200,252.96730714198202,29.509709645994008,195.86438839742914,478.34140518540516,943.1136730709113,1
-0.8974431,17.795515,0.049999595,-429.67294,100.0,1014.06354,297.36133,85.82398,4311.6133,-4299.998,264.38483,-3226.3855,-5116.135,-4295.1475,257.35065,-3529.9863,-5100.4697,-4303.53,253.9899,-3632.3188,-5096.9336,14.741195,1.7945558,17.234442,7.191441,2.4446583,1.8049372,3.814632,-0.4777686,-1.6370687,1.2316865,-0.707741,-3.5973837,0.9924502350430452,0.1517725066681979,1.2680782747998127,0.4030356859675836,992.4502350430452,0.4470794172159774,993.1880734162472,991.6176008802787,0.6717144,0.48619872,0.9998668,-0.68012345,1000.0,0.0,1000,1000,100,0.9926217410712961,0.10217722220796265,1.4573852634189517,-1.640354860173499,992.621741071296,26.1840315280039,1001.030447459763,769.3646918079803,0.670095,0.47399879,1.0,-0.9972925,1000.0,0.0,1000,1000,992.4502350430452,296,300000,300,254.97899128170684,28.28235801309347,199.60210594302043,482.86345523782074,1424.913607344497,2
0.0058981553,0.046406828,0.049999997,-0.31385738,100.0,1895693.4,1896392.2,662.589,6130.55,-6112.37,17440.65,-2434.3762,-102871.91,-6113.3965,17433.541,-2471.9165,-102824.055,-6138.872,17434.871,-2489.5876,-102857.76,16.198795,4.243569,38.241814,5.7889194,4.753634,11.449962,81.09792,-0.5721973,-1.4956789,1.4231025,2.0,-3.9777474,0.9981968191836046,0.00937300288053846,1.105748108807953,0.767918065596275,998.1968191836047,0.6367841791878649,999.2709509115566,996.7055313571748,0.6658666,0.47113386,0.9998102,-0.90672386,1000.0,0.0,1000,1000,100,0.9447405535113997,0.1882474939817888,1.2843307717486796,-0.38751273144446585,944.7405535113995,134.27684829209923,998.8864975730235,464.46934316980054,0.6690938,0.48086327,1.0,-0.9993621,1000.0,0.0,1000,1000,998.1968191836047,396,400000,400,254.54481751704589,27.227076957933605,200.1970043820329,481.9688988570124,1909.9943795707077,3
0.0065152072,0.04635683,0.04999982,-0.46258032,100.0,42.292873,42.869244,19.053562,2479.0952,-2462.3694,74.88892,-2380.0776,-2952.5186,-2463.8376,73.17723,-2385.3115,-2946.9043,-2474.8672,73.08192,-2394.6409,-2933.735,14.132365,1.8154359,16.926622,7.163637,2.4791963,1.7208998,3.9535825,-0.023745405,-1.5439724,1.0964568,-0.6595479,-3.5582392,0.9949454307859869,0.020149497735862793,1.0789458047631177,0.6857412115294378,994.9454307859871,0.6987074420699231,996.1794429510202,993.7225257418486,0.6683343,0.4668481,0.9993042,-0.43554613,1000.0,0.0,1000,1000,100,0.9965785399773315,0.026424228343603036,1.1454953639368162,0.6534963347632946,996.5785399773315,1.480195311295605,999.360546780459,993.3049834207375,0.66650873,0.47032377,0.9999807,-0.92183363,1000.0,0.0,1000,1000,994.9454307859871,496,500000,500,252.7307373099029,30.33976168790832,194.63354581966996,477.7040448174812,2388.8664133236744,4
-0.025534468,0.10403699,0.049999986,-0.80028963,100.0,23.397127,19.683147,28.03453,2101.337,-2087.1677,61.047497,-1943.3407,-2270.4905,-2088.163,60.14698,-1947.983,-2255.8433,-2101.6077,61.287663,-1962.4325,-2346.7969,13.949662,1.5103964,16.058842,8.215871,2.3651109,1.7397679,3.714071,-0.14381969,-1.5523753,0.96207654,-0.78561884,-3.2894955,0.9932669267543724,0.03827567620148643,1.1714065971593335,0.5518721302116987,993.2669267543724,4.790535346412598,998.489435373308,987.6126711429927,0.66936666,0.46534455,0.99917597,-0.7054192,1000.0,0.0,1000,1000,100,0.9904263734251983,0.07431684501650494,1.5773414626312414,0.4038924010284769,990.4263734251986,2.257262547110429,998.6601650183528,987.205426930126,0.6709754,0.4642204,0.9999674,-0.8688883,1000.0,0.0,1000,1000,993.2669267543724,596,600000,600,249.52136537386104,31.5082304100506,195.60268865292892,476.63228443684056,2862.121209676843,5
-0.023869706,0.101004206,0.049999993,-1.0998027,100.0,114.59208,99.65245,103.21736,1718.2848,-1703.2018,110.10408,-1644.6442,-2117.6895,-1704.7356,110.04584,-1648.4375,-2104.447,-1730.792,110.07003,-1674.0826,-2192.59,13.087736,1.6904038,15.435398,5.267841,2.336819,1.6747074,3.8741746,-0.22268741,-1.444076,0.86827844,-0.74048746,-2.9996662,0.9910464618462309,0.04681414387386271,1.0910420795219256,0.47313009324570887,991.0464618462308,0.5709657851658679,992.2859683593192,989.6595486922243,0.6710354,0.462711,0.99963224,-0.98315835,1000.0,0.0,1000,1000,100,0.9872440401883269,0.06316174751294204,1.3734466720579266,0.4496242185498703,987.244040188327,2.3373672304406683,998.6396537481304,984.1593875313895,0.67323154,0.47128093,0.9999523,-0.95442104,1000.0,0.0,1000,1000,991.0464618462308,696,700000,700,250.60754835093394,28.13346350705251,198.48796270322055,477.228974561207,3342.4270192366093,6
-0.010873424,0.07640934,0.04999996,-1.0272651,100.0,70.13045,67.657875,13.384022,1768.3871,-1747.5891,25.786942,-1708.5205,-1909.1836,-1757.2975,24.334902,-1727.05,-1910.5653,-1766.8718,25.4833,-1729.065,-1920.0206,12.468067,1.5872303,15.529062,6.4761114,2.4136884,1.5082318,3.6641965,-0.28147638,-1.1502024,0.5138159,-0.7285671,-3.373776,0.9903835710034722,0.045931922920890836,1.0921129572437678,0.5148397578180536,990.3835710034722,0.7501321831724106,991.8628538965114,989.1056272448238,0.6711203,0.46207255,0.9991128,-0.8905531,1000.0,0.0,1000,1000,100,0.9914142802593268,0.062452359451852034,1.3711009629575739,0.4028573546902084,991.4142802593263,1.1137237027477924,996.7274376612653,988.8951428885061,0.6695334,0.47602472,0.9999745,-0.98000646,1000.0,0.0,1000,1000,990.3835710034722,796,800000,800,249.71646875934675,31.210459162015468,195.11617421684787,476.0431021382101,3819.2431543581188,7
-0.013079771,0.080623485,0.049999997,-0.69076943,100.0,37.273346,54.671005,22.603668,1661.1975,-1649.3406,21.346659,-1629.5765,-1855.7476,-1643.6143,20.711119,-1622.522,-1829.7942,-1667.4197,21.031307,-1647.6696,-1853.6758,11.097145,1.7721896,13.891029,2.2748938,2.2278852,1.62439,3.6918757,-0.32019317,-0.945826,0.27552232,-0.6037531,-2.6056376,0.9908029971799728,0.039570346711195074,1.079331445945903,0.5784230472309386,990.8029971799727,0.5976515752524613,991.838605501955,989.8297437791354,0.6708898,0.4622689,0.9990082,-0.9635695,1000.0,0.0,1000,1000,100,0.9896171248296404,0.05713333307234462,1.2004744054081955,0.4409094517347871,989.6171248296404,0.9197602944865414,991.6516167781148,987.3936025590316,0.67017096,0.49772507,0.9999564,-0.97782266,1000.0,0.0,1000,1000,990.8029971799727,896,900000,900,253.69944381713867,31.984816655982286,199.38279783679172,485.0670583099127,4299.697907472029,8
-0.009980406,0.076815575,0.04999998,-0.8196787,100.0,53.591633,42.488884,38.966587,1602.399,-1590.9176,31.917288,-1562.7803,-1822.9042,-1589.3286,31.242096,-1564.3616,-1810.5394,-1594.022,31.121778,-1566.0449,-1813.4424,11.124852,1.6373498,14.450199,5.6521935,2.2082167,1.6115305,3.5188117,-0.4094902,-0.9428418,0.18009146,-0.7690019,-2.2344117,0.9911855062035715,0.03916683011289958,1.081886698069925,0.5798464923983688,991.1855062035717,0.6355551040652441,992.3450395592223,990.0133377529787,0.670212,0.46264234,0.997961,-0.9334017,1000.0,0.0,1000,1000,100,0.9905002851815374,0.0558971980002317,1.1705195310578325,0.5348935602029863,990.5002851815375,0.809606996658984,992.145641427892,988.4467520744305,0.66926914,0.49493954,0.9999612,-0.99200845,1000.0,0.0,1000,1000,991.1855062035717,996,1000000,1000,251.29539812682196,27.373660155106336,195.46950820786878,474.1385664897971,4777.7794496170245,9
