Loss,random_avg_energy,expert_avg_energy,expert*20_avg_energy,random_expert_diff,Best Model Epoch,Best Random Energy,Best Expert Energy,Number of train calls total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.00959909,0.20350033044815063,0.0436907596886158,0.05641083046793938,0.15980957075953484,0,0.20350033044815063,0.0436907596886158,1,0.019739662999654684,0,5.384800033425563e-05,0.01979351099998894,1.0482448809993912,0
0.008047036,-15.365203857421875,-19.609331130981445,-9.943449974060059,4.24412727355957,500,-15.365203857421875,-19.609331130981445,501,0.014334195000174077,1.0296791709997706,2.814599974954035e-05,1.0440415119996942,11.988081045002218,500
0.0062577184,-16.413545608520508,-34.211055755615234,-21.702896118164062,17.797510147094727,1000,-16.413545608520508,-34.211055755615234,1001,0.016133222999997088,1.094722160999936,2.5630999971326673e-05,1.1108810149999044,19.973541604001184,1000
0.004428974,-17.64641571044922,-43.85633087158203,-23.67873191833496,26.209915161132812,1500,-17.64641571044922,-43.85633087158203,1501,0.014741994999894814,1.062937735000105,2.500200025679078e-05,1.0777047320002566,30.22262349598941,1500
0.0041745757,-16.858379364013672,-51.28000259399414,-21.56664276123047,34.42162322998047,2000,-16.858379364013672,-51.28000259399414,2001,0.01672815099982472,0.9446743399998923,2.17900001189264e-05,0.9614242809998359,40.58867401200541,2000
0.0034410716,-17.974897384643555,-56.79011535644531,-18.03681755065918,38.81521797180176,2500,-17.974897384643555,-56.79011535644531,2501,0.01644941499989727,1.0334239519997936,2.9543000437115552e-05,1.049902910000128,50.65709289501683,2500
0.0028894807,-18.818788528442383,-61.14735412597656,-12.408571243286133,42.32856559753418,3000,-18.818788528442383,-61.14735412597656,3001,0.016801204000330472,1.0348020869996617,2.8214999929332407e-05,1.0516315059999215,59.705576082019434,3000
0.0028902565,-20.203187942504883,-65.50481414794922,-5.974106788635254,45.301626205444336,3500,-20.203187942504883,-65.50481414794922,3501,0.009808943000280124,1.1448833069998727,1.6553000477870228e-05,1.1547088030006307,66.67382281202617,3500
0.002854728,-22.395944595336914,-69.35673522949219,-0.14447101950645447,46.96079063415527,4000,-22.395944595336914,-69.35673522949219,4001,0.017137206999905175,1.0008889020000424,2.8076000489818398e-05,1.0180541850004374,76.99280921302625,4000
0.0027654837,-22.687437057495117,-72.494140625,6.200928211212158,49.80670356750488,4500,-22.687437057495117,-72.494140625,4501,0.017061987000033696,1.0078246269999909,3.5619000300357584e-05,1.024922233000325,86.02832527502687,4500
