Loss,random_avg_energy,expert_avg_energy,random_expert_diff,Best Model Epoch,Best Random Energy,Best Expert Energy,Number of train calls total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.024517998,1.0,-0.02577667310833931,1.0257766731083393,0,1.0,-0.02577667310833931,1,0.10337121412158012,0,0.00010290509089827538,0.1034741192124784,1.0066827344708145,0
0.031584885,-0.7536844611167908,-0.932276725769043,0.1785922646522522,0,1.0,-0.02577667310833931,101,0.09222786268219352,0.9047501748427749,3.6567915230989456e-05,0.9970146054401994,10.031260420568287,100
0.029521864,0.2792665660381317,-0.9951443672180176,1.2744109332561493,200,0.2792665660381317,-0.9951443672180176,201,0.08397222403436899,0.7880428987555206,3.5868026316165924e-05,0.8720509908162057,20.52390270959586,200
0.041141827,0.9525918364524841,-0.9975895881652832,1.9501814246177673,300,0.9525918364524841,-0.9975895881652832,301,0.10189272509887815,0.7838807408697903,3.1198374927043915e-05,0.8858046643435955,31.01843192568049,300
0.019168327,0.9835936427116394,-1.0,1.9835936427116394,400,0.9835936427116394,-1.0,401,0.04929158091545105,0.7729093777015805,3.621028736233711e-05,0.8222371689043939,42.52871062513441,400
0.024368439,0.5909367799758911,-1.0,1.5909367799758911,400,0.9835936427116394,-1.0,501,0.049753609113395214,0.783249756321311,2.734316512942314e-05,0.8330307085998356,51.36139609478414,500
0.033383377,-0.16243471205234528,-1.0,0.8375652879476547,400,0.9835936427116394,-1.0,601,0.07213102001696825,0.8784956918098032,3.55476513504982e-05,0.950662259478122,59.48623320553452,600
0.028832104,-0.07747006416320801,-1.0,0.922529935836792,400,0.9835936427116394,-1.0,701,0.11041197273880243,0.8456820510327816,3.720587119460106e-05,0.9561312296427786,67.67594803636894,700
0.03611649,0.416969358921051,-1.0,1.416969358921051,400,0.9835936427116394,-1.0,801,0.05804936774075031,0.8037560791708529,3.353366628289223e-05,0.8618389805778861,75.09739372646436,800
0.041858234,-0.03231184557080269,-1.0,0.9676881544291973,400,0.9835936427116394,-1.0,901,0.04401920782402158,0.7748014419339597,3.717932850122452e-05,0.8188578290864825,82.62203415343538,900
0.05437386,-0.21332067251205444,-1.0,0.7866793274879456,400,0.9835936427116394,-1.0,1001,0.08114957995712757,0.8063998948782682,3.392994403839111e-05,0.8875834047794342,90.49943537963554,1000
0.04599681,-0.059417854994535446,-1.0,0.9405821450054646,400,0.9835936427116394,-1.0,1101,0.03789645433425903,0.8208327069878578,3.9462465792894363e-05,0.8587686237879097,98.06171969836578,1100
0.04578171,0.30561941862106323,-1.0,1.3056194186210632,400,0.9835936427116394,-1.0,1201,0.061710392124950886,0.7565195267088711,2.3548025637865067e-05,0.8182534668594599,109.10993854608387,1200
0.070229776,0.22415834665298462,-1.0,1.2241583466529846,400,0.9835936427116394,-1.0,1301,0.1665348270907998,0.8525041011162102,2.8389040380716324e-05,1.0190673172473907,120.12266395101324,1300
0.036427718,0.5244666934013367,-1.0,1.5244666934013367,400,0.9835936427116394,-1.0,1401,0.11627064133062959,0.854459878988564,2.964213490486145e-05,0.9707601624540985,130.46055678464472,1400
0.034019113,0.5954915881156921,-1.0,1.5954915881156921,400,0.9835936427116394,-1.0,1501,0.05507859215140343,0.7994664488360286,2.9251445084810257e-05,0.8545742924325168,140.87868533330038,1500
0.03149848,-0.007653452455997467,-1.0,0.9923465475440025,400,0.9835936427116394,-1.0,1601,0.07549359323456883,0.8238821099512279,2.342602238059044e-05,0.8993991292081773,151.38757049804553,1600
0.023938954,0.19116288423538208,-1.0,1.191162884235382,400,0.9835936427116394,-1.0,1701,0.10485058324411511,0.7254345798864961,2.557411789894104e-05,0.8303107372485101,162.65858561359346,1700
0.040048573,-0.07435570657253265,-1.0,0.9256442934274673,400,0.9835936427116394,-1.0,1801,0.07468677405267954,0.7548807607963681,2.7867965400218964e-05,0.8295954028144479,172.65273915138096,1800
0.03415913,-0.2830240726470947,-1.0,0.7169759273529053,400,0.9835936427116394,-1.0,1901,0.07874696888029575,0.8427593880333006,3.563985228538513e-05,0.9215419967658818,183.8028456051834,1900
0.054270763,-0.2888762950897217,-1.0,0.7111237049102783,400,0.9835936427116394,-1.0,2001,0.08016410563141108,0.7505658003501594,3.545638173818588e-05,0.8307653623633087,195.59406064031646,2000
0.020248968,-0.4207184314727783,-1.0,0.5792815685272217,400,0.9835936427116394,-1.0,2101,0.11579411383718252,1.094907731283456,3.6230310797691345e-05,1.2107380754314363,207.3748930664733,2100
0.048317548,-0.4144272208213806,-1.0,0.5855727791786194,400,0.9835936427116394,-1.0,2201,0.12948358291760087,0.8823547950014472,3.4742988646030426e-05,1.011873120907694,219.09219351643696,2200
0.08697375,-0.2494315505027771,-1.0,0.7505684494972229,400,0.9835936427116394,-1.0,2301,0.07718750834465027,0.8213530797511339,2.9064249247312546e-05,0.8985696523450315,230.57920504175127,2300
0.027368005,-0.8866004943847656,-1.0,0.11339950561523438,400,0.9835936427116394,-1.0,2401,0.14702250808477402,0.770795636344701,2.6182271540164948e-05,0.9178443267010152,241.96489676693454,2400
